"title","abstract","doi","included_label","llm_included","llm_excluded","llm_justification"
"Contingent Valuation: Is Some Number Better than No Number?","Without market outcomes for comparison, internal consistency tests, particularly adding-up tests, are needed for credibility. When tested, contingent valuation has failed. Proponents find surveys tested poorly done. To the authors’ knowledge, no survey has passed these tests. The ‘embedding effect’ is the similarity of willingness-to-pay responses that theory suggests (and sometimes requires) be different. This problem has long been recognized but not solved. The authors conclude that current methods are not suitable for damage assessment or benefit-cost analysis. They believe the problems come from an absence of preferences, not a flaw in survey methodology, making improvement unlikely.","10.1257/jep.8.4.45","","0","0","The paper does not meet any of the inclusion criteria because it does not focus on green policies in promoting renewable energy investments in developing countries. It discusses contingent valuation methods and their limitations, which is unrelated to the research question."
"Large Synoptic Survey Telescope: Dark Energy Science Collaboration (2012)","This white paper describes the LSST Dark Energy Science Collaboration (DESC), whose goal is the study of dark energy and related topics in fundamental physics with data from the Large Synoptic Survey Telescope (LSST). It provides an overview of dark energy science and describes the current and anticipated state of the field. It makes the case for the DESC by laying out a robust analytical framework for dark energy science that has been defined by its members and the comprehensive three-year work plan they have developed for implementing that framework. The analysis working groups cover five key probes of dark energy: weak lensing, large scale structure, galaxy clusters, Type Ia supernovae, and strong lensing. The computing working groups span cosmological simulations, galaxy catalogs, photon simulations and a systematic software and computational framework for LSST dark energy data analysis. The technical working groups make the connection between dark energy science and the LSST system. The working groups have close linkages, especially through the use of the photon simulations to study the impact of instrument design and survey strategy on analysis methodology and cosmological parameter estimation. The white paper describes several high priority tasks identified by each of the 16 working groups. Over the next three years these tasks will help prepare for LSST analysis, make synergistic connections with ongoing cosmological surveys and provide the dark energy community with state of the art analysis tools. Members of the community are invited to join the LSST DESC, according to the membership policies described in the white paper. Applications to sign up for associate membership may be made by submitting the Web form at http://www.slac.stanford.edu/exp/lsst/desc/signup.html with a short statement of the work they wish to pursue that is relevant to the LSST DESC.","10.2172/1156445","","0","0","The paper does not meet any of the inclusion criteria as it is not focused on green policies in promoting renewable energy investments in developing countries. The paper is about the Large Synoptic Survey Telescope: Dark Energy Science Collaboration and its goals, which is unrelated to the research question."
"Dynamic Rolling Horizon Optimization for Network-Constrained V2X Value Stacking of Electric Vehicles Under Uncertainties (2025)","Electric vehicle (EV) coordination can provide significant benefits through vehicle-to-everything (V2X) by interacting with the grid, buildings, and other EVs. This work aims to develop a V2X value-stacking framework, including vehicle-to-building (V2B), vehicle-to-grid (V2G), and energy trading, to maximize economic benefits for residential communities while maintaining distribution voltage. This work also seeks to quantify the impact of prediction errors related to building load, renewable energy, and EV arrivals. A dynamic rolling-horizon optimization (RHO) method is employed to leverage multiple revenue streams and maximize the potential of EV coordination. To address energy uncertainties, including hourly local building load, local photovoltaic (PV) generation, and EV arrivals, this work develops a Transformer-based forecasting model named Gated Recurrent Units-Encoder-Temporal Fusion Decoder (GRU-EN-TFD). The simulation results, using real data from Australia's National Electricity Market, and the Independent System Operators in New England and New York in the US, reveal that V2X value stacking can significantly reduce energy costs. The proposed GRU-EN-TFD model outperforms the benchmark forecast model. Uncertainties in EV arrivals have a more substantial impact on value-stacking performance, highlighting the significance of its accurate forecast. This work provides new insights into the dynamic interactions among residential communities, unlocking the full potential of EV batteries.","10.1016/j.renene.2025.122668","","0","0","The paper does not focus on green policies (e.g., feed-in tariffs, tax credits, net metering) in promoting renewable energy investments in developing countries, which is a key inclusion criterion."
"Techno-economic analysis of renewable energy generation at the South Pole (2023)","Transitioning from fossil-fuel power generation to renewable energy generation and energy storage in remote locations has the potential to reduce both carbon emissions and cost. This study presents a techno-economic analysis for implementation of a hybrid renewable energy system at the South Pole in Antarctica, which currently hosts several high-energy physics experiments with nontrivial power needs. A tailored model of resource availability and economics for solar photovoltaics, wind turbine generators, lithium-ion energy storage, and long-duration energy storage at this site is explored in different combinations with and without existing diesel energy generation. The Renewable Energy Integration and Optimization (REopt) platform is used to determine the optimal system component sizing and the associated system economics and environmental benefit. We find that the least-cost system includes all three energy generation sources and lithium-ion energy storage. For an example steady-state load of 170 kW, this hybrid system includes 180 kW-DC of photovoltaic panels, 570 kW of wind turbines, and a 3.4 MWh lithium-ion battery energy storage system. This system reduces diesel consumption by 95% compared to an all-diesel configuration, resulting in approximately 1200 metric tons of carbon footprint avoided annually. Over the course of a 15-year analysis period the reduced diesel usage leads to a net savings of 57 million United States dollars, with a time to payback of approximately two years. All the scenarios modeled show that the transition to renewables is highly cost effective under the unique economics and constraints of this extremely remote site.","10.1016/j.rser.2023.114274","","0","0","The paper does not focus on green policies (e.g., feed-in tariffs, tax credits, net metering) in promoting renewable energy investments in developing countries, which is a key inclusion criterion."
"Integrated approach for the identification of spatial patterns related to renewable energy potential in European territories (2019)","The study presents an effort to classify the territories of a specific area, according to similarities in the estimated potential of their renewable sources, considering also their economic and sociodemographic structure and their geographic features. Specifically, the paper focuses on the area of EU28 and Switzerland and uses as basis for the analysis, data estimating the potential of renewable energy sources collected and elaborated in the framework of the project HotMaps (Horizon 2020). The method used to group the territorial units is cluster analysis, and specifically the k-means algorithm. The data present some interesting patterns and the territories of EU28 and Switzerland at NUTS3 level are classified into 17 clusters. The analysis shows the presence of heterogeneity within national borders and among territories comprised in the macro regions target of specific EU programmes, specifically the Adriatic-Ionian region, the Alpine region, the Baltic Sea region and the Danube region. The results of this research are meant to be used by European policy makers in developing more focused transnational renewable energy policies and strategies.","10.1016/j.rser.2018.10.024","","0","0","The paper does not meet the research question as it focuses on the identification of spatial patterns related to renewable energy potential in European territories, rather than the comparative effectiveness of green policies in promoting renewable energy investments in developing countries."
"Synergies of sector coupling and transmission reinforcement in a cost-optimised, highly renewable European energy system (2018)","There are two competing concepts in the literature for the integration of high shares of renewable energy: the coupling of electricity to other energy sectors, such as transport and heating, and the reinforcement of continent-wide transmission networks. In this paper both cross-sector and cross-border integration are considered in the model PyPSA-Eur-Sec-30, the first open, spatially-resolved, temporally-resolved and sector-coupled energy model of Europe. Using a simplified network with one node per country, the cost-optimal system is calculated for a 95% reduction in carbon dioxide emissions compared to 1990, incorporating electricity, transport and heat demand. Flexibility from battery electric vehicles (BEV), power-to-gas units (P2G) and long-term thermal energy storage (LTES) make a significant contribution to the smoothing of variability from wind and solar and to the reduction of total system costs. The cost-minimising integration of BEV pairs well with the daily variations of solar power, while P2G and LTES balance the synoptic and seasonal variations of demand and renewables. In all scenarios, an expansion of cross-border transmission reduces system costs, but the more tightly the energy sectors are coupled, the weaker the benefit of transmission reinforcement becomes.","10.1016/j.energy.2018.06.222","","0","0","The paper does not focus on green policies in promoting renewable energy investments in developing countries, so it does not meet the inclusion criteria. It also does not match any exclusion criteria as it is a peer-reviewed article, written in English, and published in 2018, which falls within the specified time frame."
"Improving operational flexibility of integrated energy system with uncertain renewable generations considering thermal inertia of buildings (2020)","Insufficient flexibility in system operation caused by traditional ""heat-set"" operating modes of combined heat and power (CHP) units in winter heating periods is a key issue that limits renewable energy consumption. In order to reduce the curtailment of renewable energy resources through improving the operational flexibility, a novel optimal scheduling model based on chance-constrained programming (CCP), aiming at minimizing the lowest generation cost, is proposed for a small-scale integrated energy system (IES) with CHP units, thermal power units, renewable generations and representative auxiliary equipments. In this model, due to the uncertainties of renewable generations including wind turbines and photovoltaic units, the probabilistic spinning reserves are supplied in the form of chance-constrained; from the perspective of user experience, a heating load model is built with consideration of heat comfort and inertia in buildings. To solve the model, a solution approach based on sequence operation theory (SOT) is developed, where the original CCP-based scheduling model is tackled into a solvable mixed-integer linear programming (MILP) formulation by converting a chance constraint into its deterministic equivalence class, and thereby is solved via the CPLEX solver. The simulation results on the modified IEEE 30-bus system demonstrate that the presented method manages to improve operational flexibility of the IES with uncertain renewable generations by comprehensively leveraging thermal inertia of buildings and different kinds of auxiliary equipments, which provides a fundamental way for promoting renewable energy consumption.","10.1016/j.enconman.2020.112526","","0","0","The paper does not focus on green policies (e.g., feed-in tariffs, tax credits, net metering) in promoting renewable energy investments in developing countries, which is a key inclusion criterion."
"Data-Driven Distributionally Robust Scheduling of Community Integrated Energy Systems with Uncertain Renewable Generations Considering Integrated Demand Response (2023)","A community integrated energy system (CIES) is an important carrier of the energy internet and smart city in geographical and functional terms. Its emergence provides a new solution to the problems of energy utilization and environmental pollution. To coordinate the integrated demand response and uncertainty of renewable energy generation (RGs), a data-driven two-stage distributionally robust optimization (DRO) model is constructed. A comprehensive norm consisting of the 1-norm and infinity-norm is used as the uncertainty probability distribution information set, thereby avoiding complex probability density information. To address multiple uncertainties of RGs, a generative adversarial network based on the Wasserstein distance with gradient penalty is proposed to generate RG scenarios, which has wide applicability. To further tap the potential of the demand response, we take into account the ambiguity of human thermal comfort and the thermal inertia of buildings. Thus, an integrated demand response mechanism is developed that effectively promotes the consumption of renewable energy. The proposed method is simulated in an actual CIES in North China. In comparison with traditional stochastic programming and robust optimization, it is verified that the proposed DRO model properly balances the relationship between economical operation and robustness while exhibiting stronger adaptability. Furthermore, our approach outperforms other commonly used DRO methods with better operational economy, lower renewable power curtailment rate, and higher computational efficiency.","10.1016/j.apenergy.2023.120749","","0","0","The paper does not focus on green policies (e.g., feed-in tariffs, tax credits, net metering) in promoting renewable energy investments in developing countries, which is a key inclusion criterion."
"Transmission needs across a fully renewable European power system (2013)","The residual load and excess power generation of 27 European countries with a 100% penetration of variable renewable energy sources are explored in order to quantify the benefit of power transmission between countries. Estimates are based on extensive weather data, which allows for modelling of hourly mismatches between the demand and renewable generation from wind and solar photovoltaics. For separated countries, balancing is required to cover around 24% of the total annual energy consumption. This number can be reduced down to 15% once all countries are networked together with uncon- strained interconnectors. The reduction represents the maximum possible benefit of transmission for the countries. The total Net Transfer Capacity of the unconstrained interconnectors is roughly twelve times larger than current values. However, constrained interconnector capacities six times larger than the current values are found to provide 97% of the maximum possible benefit of cooperation. This motivates a detailed investigation of several constrained transmission capacity layouts to determine the export and import capabilities of countries participating in a fully renewable European electricity system.","10.1016/j.renene.2013.10.005","","0","0","The paper does not focus on green policies (e.g., feed-in tariffs, tax credits, net metering) in promoting renewable energy investments in developing countries, which is a key inclusion criterion."
"Which Top Energy-Intensive Manufacturing Countries Can Compete in a Renewable Energy Future? (2025)","In a world increasingly powered by renewables and aiming for greenhouse gas-neutral industrial production, the future competitiveness of todays top manufacturing countries is questioned. This study applies detailed energy system modeling to quantify the Renewable Pull, an incentive for industry relocation exerted by countries with favorable renewable conditions. Results reveal that the Renewable Pull is not a cross-industrial phenomenon but strongly depends on the relationship between energy costs and transport costs. The intensity of the Renewable Pull varies, with China, India, and Japan facing a significantly stronger effect than Germany and the United States. Incorporating national capital cost assumptions proves critical, reducing Germanys Renewable Pull by a factor of six and positioning it as the second least affected top manufacturing country after Saudi Arabia. Using Germany as a case study, the analysis moreover illustrates that targeted import strategies, especially within the EU, can nearly eliminate the Renewable Pull, offering policymakers clear options for risk mitigation.","10.48550/arxiv.2511.00242","","0","0","The paper does not meet the research question, as it focuses on the competitiveness of top manufacturing countries in a renewable energy future rather than the effectiveness of green policies in promoting renewable energy investments in developing countries."
"Re-examining the Role of Nuclear Fusion in a Renewables-Based Energy Mix (2021)","Fusion energy is often regarded as a long-term solution to the world's energy needs. However, even after solving the critical research challenges, engineering and materials science will still impose significant constraints on the characteristics of a fusion power plant. Meanwhile, the global energy grid must transition to low-carbon sources by 2050 to prevent the worst effects of climate change. We review three factors affecting fusion's future trajectory: (1) the significant drop in the price of renewable energy, (2) the intermittency of renewable sources and implications for future energy grids, and (3) the recent proposition of intermediate-level nuclear waste as a product of fusion. Within the scenario assumed by our premises, we find that while there remains a clear motivation to develop fusion power plants, this motivation is likely weakened by the time they become available. We also conclude that most current fusion reactor designs do not take these factors into account and, to increase market penetration, fusion research should consider relaxed nuclear waste design criteria, raw material availability constraints and load-following designs with pulsed operation.","10.1016/j.enpol.2020.112043","","0","0","The paper does not focus on green policies (e.g., feed-in tariffs, tax credits, net metering) in promoting renewable energy investments in developing countries, which is a key inclusion criterion."
"Deep learning based on Transformer architecture for power system short-term voltage stability assessment with class imbalance (2023)","Most existing data-driven power system short-term voltage stability assessment (STVSA) approaches presume class-balanced input data. However, in practical applications, the occurrence of short-term voltage instability following a disturbance is minimal, leading to a significant class imbalance problem and a consequent decline in classifier performance. This work proposes a Transformer-based STVSA method to address this challenge. By utilizing the basic Transformer architecture, a stability assessment Transformer (StaaT) is developed {as a classification model to reflect the correlation between the operational states of the system and the resulting stability outcomes}. To combat the negative impact of imbalanced datasets, this work employs a conditional Wasserstein generative adversarial network with gradient penalty (CWGAN-GP) for synthetic data generation, aiding in the creation of a balanced, representative training set for the classifier. Semi-supervised clustering learning is implemented to enhance clustering quality, addressing the lack of a unified quantitative criterion for short-term voltage stability. {Numerical tests on the IEEE 39-bus test system extensively demonstrate that the proposed method exhibits robust performance under class imbalances up to 100:1 and noisy environments, and maintains consistent effectiveness even with an increased penetration of renewable energy}. Comparative results reveal that the CWGAN-GP generates more balanced datasets than traditional oversampling methods and that the StaaT outperforms other deep learning algorithms. This study presents a compelling solution for real-world STVSA applications that often face class imbalance and data noise challenges.","10.1016/j.rser.2023.113913","","0","0","The paper does not focus on green policies (e.g., feed-in tariffs, tax credits, net metering) in promoting renewable energy investments in developing countries, which is a required inclusion criterion."
"Probabilistic Mid- and Long-Term Electricity Price Forecasting (2017)","The liberalization of electricity markets and the development of renewable energy sources has led to new challenges for decision makers. These challenges are accompanied by an increasing uncertainty about future electricity price movements. The increasing amount of papers, which aim to model and predict electricity prices for a short period of time provided new opportunities for market participants. However, the electricity price literature seem to be very scarce on the issue of medium- to long-term price forecasting, which is mandatory for investment and political decisions. Our paper closes this gap by introducing a new approach to simulate electricity prices with hourly resolution for several months up to three years. Considering the uncertainty of future events we are able to provide probabilistic forecasts which are able to detect probabilities for price spikes even in the long-run. As market we decided to use the EPEX day-ahead electricity market for Germany and Austria. Our model extends the X-Model which mainly utilizes the sale and purchase curve for electricity day-ahead auctions. By applying our procedure we are able to give probabilities for the due to the EEG practical relevant event of six consecutive hours of negative prices. We find that using the supply and demand curve based model in the long-run yields realistic patterns for the time series of electricity prices and leads to promising results considering common error measures.","10.1016/j.rser.2018.05.038","","0","0","The paper does not focus on green policies (e.g., feed-in tariffs, tax credits, net metering) in promoting renewable energy investments in developing countries, which is a key inclusion criterion."
"Development and Evaluation of an Online Home Energy Management Strategy for Load Coordination in Smart Homes with Renewable Energy Sources (2023)","In this paper, a real time implementable load coordination strategy is developed for the optimization of electric demands in a smart home. The strategy minimizes the electricity cost to the home owner, while limiting the disruptions associated with the deferring of flexible power loads. A multi-objective nonlinear mixed integer programming is formulated as a sequential model predictive control, which is then solved using genetic algorithm. The load shifting benefits obtained by deploying an advanced coordination strategy are compared against a baseline controller for various home characteristics, such as location, size and equipment. The simulation study shows that the deployment of the smart home energy management strategy achieves approximately 5% reduction in grid cost compared to a baseline strategy. This is achieved by deferring approximately 50\% of the flexible loads, which is possible due to the use of the stationary energy storage.","10.1016/j.energy.2023.130134","","0","0","The paper does not meet any of the inclusion criteria as it focuses on load coordination in smart homes with renewable energy sources, rather than green policies in promoting renewable energy investments in developing countries. Additionally, the study is not focused on developing countries, which is a key aspect of the research question."
"Assessment and Prioritization of Renewable Energy Alternatives to Achieve Sustainable Development Goals in Turkiye: Based on Fuzzy AHP Approach (2025)","The aim of this study is to prioritize renewable energy sources to achieve sustainable development in Turkiye by using fuzzy AHP method. In our study, we used 30 criteria that affect the investment in renewable energy sources. We also calculated the weights of these criteria in investment decisions. In addition, we analyzed the advantageous renewable energy sources according to each criterion. Thus, it was determined which renewable energy source is advantageous according to which criteria. The results show that the most important main criteria for renewable energy investments in Turkiye are economic, political, technical, environmental and social criteria, respectively. The most appropriate renewable energy sources according to economic, political, technical and social criteria are solar, wind, hydroelectric,","10.58559/ijes.1494256","","0","0","The paper does not meet the inclusion criteria because it does not focus on green policies (e.g., feed-in tariffs, tax credits, net metering) in promoting renewable energy investments in developing countries. The abstract mentions the use of fuzzy AHP method to prioritize renewable energy sources in Turkiye, but does not mention green policies."
"Cybersecurity of Renewable Energy Data and Applications Using Distributed Ledger Technology (2021)","Renewable energy sources (RES) are among the most popular emerging energy resources during the past two decades. Many countries have introduced various energy policy instruments, such as renewable energy certificates (RECs), to support the growth of RES. RECs are tradable non-tangible assets, which have a monetary value. Tracking and certification of the origin of an energy resource regardless of its type (e.g., a conventional power plant or RES) is a critical operation. In addition to the certification of origin, trading transactions are needed to be performed using a secure method. Energy industry participants need to secure the data and applications related to RECs. Distributed ledger technology (DLT) is a perfect framework that can support such REC functionalities. This paper addresses the cybersecurity aspects in REC trading using Blockchain and a distributed ledger technology, considering detailed cybersecurity perspectives.","10.48550/arxiv.2110.11354","","0","0","The paper does not meet any of the inclusion criteria as it focuses on the cybersecurity of renewable energy data and applications using distributed ledger technology, rather than green policies in promoting renewable energy investments in developing countries."
